post_date,TagName,num_per_day
"2010-01-18 00:00:00","php","300"
"2015-06-02 00:00:00","php","844"
"2008-10-20 00:00:00","ruby","18"
"2011-04-10 00:00:00","ruby","66"
"2009-02-24 00:00:00","css","65"
"2014-04-22 00:00:00","delphi","22"
"2012-03-16 00:00:00","html","337"
"2016-01-14 00:00:00","c++","365"
"2016-07-28 00:00:00","c","180"
"2016-01-13 00:00:00","hadoop","38"
"2017-12-23 00:00:00","swift","103"
"2009-10-06 00:00:00","sql","161"
"2017-05-13 00:00:00","sql","118"
"2016-05-21 00:00:00","php","447"
"2011-10-24 00:00:00","ruby","114"
"2012-01-25 00:00:00","go","2"
"2017-08-11 00:00:00","ruby","77"
"2017-01-01 00:00:00","pascal","1"
"2017-10-14 00:00:00","vba","35"
"2009-01-05 00:00:00","css","24"
"2010-07-03 00:00:00","delphi","4"
"2008-09-06 00:00:00","cobol","3"
"2010-09-19 00:00:00","c","95"
"2012-03-16 00:00:00","c#","926"
"2013-07-16 00:00:00","fortran","2"
"2016-01-04 00:00:00","fortran","5"
"2017-02-13 00:00:00","php","649"
"2013-08-07 00:00:00","ruby","150"
"2017-12-03 00:00:00","vba","35"
"2015-08-30 00:00:00","r","80"
"2014-09-11 00:00:00","python","547"
"2011-05-17 00:00:00","css","260"
"2014-04-10 00:00:00","css","589"
"2017-06-05 00:00:00","c++","222"
"2011-09-22 00:00:00","jquery","597"
"2017-03-21 00:00:00","java","923"
"2015-09-02 00:00:00","hadoop","32"
"2012-04-16 00:00:00","php","765"
"2012-01-20 00:00:00","perl","42"
"2014-07-10 00:00:00","perl","36"
"2016-10-29 00:00:00","scala","41"
"2013-02-28 00:00:00","css","498"
"2013-03-03 00:00:00","c++","345"
"2017-02-13 00:00:00","delphi","14"
"2016-10-03 00:00:00","c#","608"
"2017-09-26 00:00:00","c","153"
"2014-11-04 00:00:00","r","162"
"2017-04-24 00:00:00","r","228"
"2011-10-05 00:00:00","shell","31"
"2013-01-16 00:00:00","python","457"
"2009-12-12 00:00:00","sql","65"
"2009-09-21 00:00:00","css","54"
"2015-03-11 00:00:00","delphi","25"
"2014-05-09 00:00:00","javascript","1209"
"2016-10-19 00:00:00","cobol","2"
"2016-12-01 00:00:00","hadoop","20"
"2016-11-03 00:00:00","php","598"
"2014-09-29 00:00:00","vba","49"
"2012-06-25 00:00:00","r","51"
"2015-12-18 00:00:00","swift","226"
"2017-01-07 00:00:00","shell","16"
"2013-09-14 00:00:00","perl","14"
"2015-06-01 00:00:00","scala","58"
"2010-06-03 00:00:00","ruby","74"
"2013-05-31 00:00:00","go","14"
"2014-04-23 00:00:00","rust","4"
"2014-12-27 00:00:00","pascal","1"
"2014-07-21 00:00:00","css","459"
"2016-05-06 00:00:00","c","196"
"2016-04-08 00:00:00","fortran","6"
"2014-01-15 00:00:00","java","1279"
"2012-08-17 00:00:00","pascal","1"
"2010-09-06 00:00:00","shell","18"
"2009-07-15 00:00:00","sql","160"
"2012-12-17 00:00:00","javascript","838"
"2016-03-20 00:00:00","c#","327"
"2012-10-27 00:00:00","cobol","2"
"2017-09-10 00:00:00","html","277"
"2016-11-19 00:00:00","c","126"
"2010-05-12 00:00:00","fortran","1"
"2013-12-28 00:00:00","r","54"
"2017-06-21 00:00:00","swift","243"
"2015-07-06 00:00:00","shell","58"
"2015-03-17 00:00:00","sql","319"
"2014-11-19 00:00:00","jquery","780"
